1,2,11
1.013,2.011,11.00066667
1.026,2.022,11.00133333
1.039,2.033,11.002
1.052,2.044,11.00266667
1.065,2.055,11.00333333
1.078,2.066,11.004
1.091,2.077,11.00466667
1.104,2.088,11.00533333
1.117,2.099,11.006
1.13,2.11,11.00666667
1.143,2.121,11.00733333
1.156,2.132,11.008
1.169,2.143,11.00866667
1.182,2.154,11.00933333
1.195,2.165,11.01
1.208,2.176,11.01066667
1.221,2.187,11.01133333
1.234,2.198,11.012
1.247,2.209,11.01266667
1.26,2.22,11.01333333
1.273,2.231,11.014
1.286,2.242,11.01466667
1.299,2.253,11.01533333
1.312,2.264,11.016
1.325,2.275,11.01666667
1.338,2.286,11.01733333
1.351,2.297,11.018
1.364,2.308,11.01866667
1.377,2.319,11.01933333
1.39,2.33,11.02
1.403,2.341,11.02066667
1.416,2.352,11.02133333
1.429,2.363,11.022
1.442,2.374,11.02266667
1.455,2.385,11.02333333
1.468,2.396,11.024
1.481,2.407,11.02466667
1.494,2.418,11.02533333
1.507,2.429,11.026
1.52,2.44,11.02666667
1.533,2.451,11.02733333
1.546,2.462,11.028
1.559,2.473,11.02866667
1.572,2.484,11.02933333
1.585,2.495,11.03
1.598,2.506,11.03066667
1.611,2.517,11.03133333
1.624,2.528,11.032
1.637,2.539,11.03266667
1.65,2.55,11.03333333
1.663,2.561,11.034
1.676,2.572,11.03466667
1.689,2.583,11.03533333
1.702,2.594,11.036
1.715,2.605,11.03666667
1.728,2.616,11.03733333
1.741,2.627,11.038
1.754,2.638,11.03866667
1.767,2.649,11.03933333
1.78,2.66,11.04
1.793,2.671,11.04066667
1.806,2.682,11.04133333
1.819,2.693,11.042
1.832,2.704,11.04266667
1.845,2.715,11.04333333
1.858,2.726,11.044
1.871,2.737,11.04466667
1.884,2.748,11.04533333
1.897,2.759,11.046
1.91,2.77,11.04666667
1.923,2.781,11.04733333
1.936,2.792,11.048
1.949,2.803,11.04866667
1.962,2.814,11.04933333
1.975,2.825,11.05
1.988,2.836,11.05066667
2.001,2.847,11.05133333
2.014,2.858,11.052
2.027,2.869,11.05266667
2.04,2.88,11.05333333
2.053,2.891,11.054
2.066,2.902,11.05466667
2.079,2.913,11.05533333
2.092,2.924,11.056
2.105,2.935,11.05666667
2.118,2.946,11.05733333
2.131,2.957,11.058
2.144,2.968,11.05866667
2.157,2.979,11.05933333
2.17,2.99,11.06
2.183,3.001,11.06066667
2.196,3.012,11.06133333
2.209,3.023,11.062
2.222,3.034,11.06266667
2.235,3.045,11.06333333
2.248,3.056,11.064
2.261,3.067,11.06466667
2.274,3.078,11.06533333
2.287,3.089,11.066
2.3,3.1,11.06666667
2.313,3.111,11.06733333
2.326,3.122,11.068
2.339,3.133,11.06866667
2.352,3.144,11.06933333
2.365,3.155,11.07
